Ranking 2023,Country,Score 2023,Political Context 2023,Economic Context 2023,Legal Framework 2023,Safety Score 2023,Sociocultural Context 2023,Difference In Position From 2022,Year 2023,Ranking 2022,Score 2022,Political Context 2022,Economic Context 2022,Legal Framework 2022,Safety Score 2022,Sociocultural Context 2022,Year 2022
67,Lesotho,64.29,64.38,44.85,55.97,87.78,68.47,21,2023,88,59.39,57.37,40.14,57.31,68.11,74.0,2022
68,Japan,63.95,55.75,56.32,66.39,81.99,59.32,3,2023,71,64.37,54.66,53.7,66.23,80.19,67.06,2022
69,Panama,63.67,57.5,51.63,64.47,80.0,64.77,5,2023,74,62.78,54.24,47.45,64.04,74.15,74.0,2022
70,Togo,63.06,54.5,46.86,60.19,84.45,69.32,30,2023,100,57.17,57.52,53.06,61.93,55.15,69.5,2022
71,Bulgaria,62.98,58.25,37.91,70.25,82.94,65.53,20,2023,91,59.12,54.95,30.1,68.71,75.02,66.83,2022
72,Hungary,62.96,45.63,43.94,70.94,81.66,72.62,13,2023,85,59.8,47.07,32.31,67.25,85.03,67.33,2022
73,Malaysia,62.83,55.31,52.94,44.58,85.46,75.85,40,2023,113,51.55,46.52,42.6,40.13,72.48,56.0,2022
74,Sierra Leone,62.55,65.45,47.9,65.9,61.27,72.24,-28,2023,46,71.03,73.71,50.38,78.4,75.14,77.5,2022
75,Comoros,62.25,55.09,49.72,65.36,79.21,61.85,8,2023,83,60.16,56.36,50.26,59.98,58.56,75.63,2022
77,Georgia,61.69,48.4,47.17,76.0,61.9,75.0,12,2023,89,59.3,52.42,46.43,80.79,41.34,75.5,2022
78,Guinea Bissau,61.57,56.09,51.72,70.05,64.95,65.06,14,2023,92,58.79,59.26,50.82,68.42,61.18,62.4,2022
79,Ukraine,61.19,60.63,63.48,80.66,20.78,80.4,27,2023,106,55.76,61.21,42.86,79.45,18.84,76.43,2022
80,Ecuador,60.51,60.52,61.6,70.13,48.76,61.55,-12,2023,68,64.61,60.1,55.44,67.98,70.03,69.5,2022
82,Malawi,60.34,52.57,47.6,66.56,74.73,60.23,-2,2023,80,61.4,55.76,38.44,78.07,67.08,67.67,2022
83,Chile,60.09,70.8,47.48,65.09,51.49,65.58,-1,2023,82,60.61,65.03,42.86,67.63,55.15,72.4,2022
84,Malta,59.76,46.46,44.77,57.23,84.31,66.04,-6,2023,78,61.55,46.82,41.33,67.98,76.87,74.75,2022
85,Guinea,59.51,60.0,46.08,62.85,68.55,60.09,-1,2023,84,59.82,59.26,47.05,71.15,50.96,70.67,2022
